source,t,rel_t,x,y,yaw_rad,yaw_deg,rel_x,rel_y,rel_yaw_deg,vx,wz
rtabmap,1780713856.830427170,0.000000000,0.000410266,-0.000582756,-1.337501706,-76.633203,0.000000000,0.000000000,0.000000,-0.000200386,-0.000313306
rtabmap,1780713857.163764238,0.333337069,0.000963898,-0.000159488,-1.337452360,-76.630375,-0.000283810,0.000636487,0.002827,-0.000851420,0.000148503
wheel,1780713857.441371918,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000002484
wheel,1780713857.458895683,0.017523766,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000002460
wheel,1780713857.478942871,0.037570953,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000002435
wheel,1780713857.498909473,0.057537556,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000002411
wheel,1780713857.518917084,0.077545166,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000002387
rtabmap,1780713857.530738115,0.700310946,0.001244074,-0.000433171,-1.337479376,-76.631923,0.000047231,0.000845802,0.001279,0.000902110,-0.000073699
wheel,1780713857.544563770,0.103191853,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000002363
wheel,1780713857.558928728,0.117556810,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000002339
wheel,1780713857.578887939,0.137516022,0.000072864,-0.000000017,-0.000462629,-0.026507,0.000072864,-0.000000017,-0.026507,0.000182491,-0.000229419
wheel,1780713857.599129915,0.157757998,0.000145728,-0.000000067,-0.000925258,-0.053013,0.000145728,-0.000000067,-0.053013,0.000353353,-0.000455680
wheel,1780713857.618909121,0.177537203,0.000291456,-0.000000270,-0.001850517,-0.106027,0.000291456,-0.000000270,-0.106027,0.000704175,-0.000919046
wheel,1780713857.638888836,0.197516918,0.000437184,-0.000000607,-0.002775775,-0.159040,0.000437184,-0.000000607,-0.159040,0.001033561,-0.001372833
wheel,1780713857.658931494,0.217559576,0.000437184,-0.000000607,-0.002775775,-0.159040,0.000437184,-0.000000607,-0.159040,0.000981883,-0.001359105
wheel,1780713857.678897142,0.237525225,0.000728638,-0.000001685,-0.004626292,-0.265067,0.000728638,-0.000001685,-0.265067,0.001662509,-0.002272142
wheel,1780713857.698980093,0.257608175,0.000874365,-0.000002427,-0.005551550,-0.318080,0.000874365,-0.000002427,-0.318080,0.001942411,-0.002710407
wheel,1780713857.720524073,0.279152155,0.001020090,-0.000003303,-0.006476808,-0.371094,0.001020090,-0.000003303,-0.371094,0.002183340,-0.003112573
wheel,1780713857.738906622,0.297534704,0.001165815,-0.000004315,-0.007402067,-0.424107,0.001165815,-0.000004315,-0.424107,0.002470529,-0.003584757
wheel,1780713857.758892775,0.317520857,0.001165815,-0.000004315,-0.007402067,-0.424107,0.001165815,-0.000004315,-0.424107,0.002347003,-0.003548909
wheel,1780713857.778933048,0.337561131,0.001311538,-0.000005528,-0.009252583,-0.530134,0.001311538,-0.000005528,-0.530134,0.002593314,-0.004437006
wheel,1780713857.798942804,0.357570887,0.001384399,-0.000006253,-0.010640471,-0.609654,0.001384399,-0.000006253,-0.609654,0.002645729,-0.005086274
wheel,1780713857.818921804,0.377549887,0.001384399,-0.000006253,-0.011565729,-0.662667,0.001384399,-0.000006253,-0.662667,0.002513442,-0.005498449
wheel,1780713857.839096785,0.397724867,0.001311540,-0.000005360,-0.012953616,-0.742188,0.001311540,-0.000005360,-0.742188,0.002207203,-0.006131341
wheel,1780713857.858911991,0.417540073,0.001311540,-0.000005360,-0.012953616,-0.742188,0.001311540,-0.000005360,-0.742188,0.002096842,-0.006070028
wheel,1780713857.878889084,0.437517166,0.001384396,-0.000006422,-0.016192021,-0.927734,0.001384396,-0.000006422,-0.927734,0.002174332,-0.007630057
wheel,1780713857.898950577,0.457578659,0.001311543,-0.000005191,-0.017579908,-1.007255,0.001311543,-0.000005191,-1.007255,0.001883962,-0.008245771
wheel,1780713857.919240475,0.477868557,0.001238691,-0.000003826,-0.019893054,-1.139788,0.001238691,-0.000003826,-1.139788,0.001610236,-0.009303174
wheel,1780713857.938880205,0.497508287,0.001238691,-0.000003826,-0.021743570,-1.245815,0.001238691,-0.000003826,-1.245815,0.001529724,-0.010152270
wheel,1780713857.958946228,0.517574310,0.001238691,-0.000003826,-0.021743570,-1.245815,0.001238691,-0.000003826,-1.245815,0.001453238,-0.010050747
wheel,1780713857.978901625,0.537529707,0.001238691,-0.000003826,-0.026369862,-1.510882,0.001238691,-0.000003826,-1.510882,0.001380576,-0.012267753
wheel,1780713857.998923540,0.557551622,0.001238691,-0.000003826,-0.029145637,-1.669922,0.001238691,-0.000003826,-1.669922,0.001311547,-0.013531576
wheel,1780713858.018897295,0.577525377,0.001311522,-0.000006034,-0.031458783,-1.802455,0.001311522,-0.000006034,-1.802455,0.001428356,-0.014554270
wheel,1780713858.041225433,0.599853516,0.001311522,-0.000006034,-0.035159816,-2.014509,0.001311522,-0.000006034,-2.014509,0.001356939,-0.016066363
wheel,1780713858.058932066,0.617560148,0.001311522,-0.000006034,-0.035159816,-2.014509,0.001311522,-0.000006034,-2.014509,0.001289092,-0.015905699
wheel,1780713858.078900814,0.637528896,0.001529955,-0.000014375,-0.041173995,-2.359096,0.001529955,-0.000014375,-2.359096,0.001771855,-0.018757791
rtabmap,1780713858.097412586,1.266985416,0.004896176,0.002740931,-1.292133778,-74.033812,-0.002196577,0.005132770,2.599391,-0.003959436,0.080020502
wheel,1780713858.098970175,0.657598257,0.001675548,-0.000020643,-0.044875028,-2.571150,0.001675548,-0.000020643,-2.571150,0.002046462,-0.020415035
wheel,1780713858.118908644,0.677536726,0.001821117,-0.000027449,-0.048576062,-2.783203,0.001821117,-0.000027449,-2.783203,0.002309549,-0.022066935
wheel,1780713858.138897896,0.697525978,0.001893890,-0.000031105,-0.051814466,-2.968750,0.001893890,-0.000031105,-2.968750,0.002376290,-0.023465990
wheel,1780713858.158922672,0.717550755,0.001893890,-0.000031105,-0.051814466,-2.968750,0.001893890,-0.000031105,-2.968750,0.002257476,-0.023231330
wheel,1780713858.179018497,0.737646580,0.002184890,-0.000047412,-0.060141790,-3.445871,0.002184890,-0.000047412,-3.445871,0.002869786,-0.027142924
wheel,1780713858.198911190,0.757539272,0.002330334,-0.000056507,-0.064768082,-3.710938,0.002330334,-0.000056507,-3.710938,0.003092754,-0.029198206
wheel,1780713858.218879938,0.777508020,0.002475730,-0.000066343,-0.070319632,-4.029018,0.002475730,-0.000066343,-4.029018,0.003302780,-0.031684618
wheel,1780713858.238886356,0.797514439,0.002621054,-0.000077187,-0.078646957,-4.506139,0.002621054,-0.000077187,-4.506139,0.003501866,-0.035530346
wheel,1780713858.258891582,0.817519665,0.002621054,-0.000077187,-0.078646957,-4.506139,0.002621054,-0.000077187,-4.506139,0.003326773,-0.035175043
wheel,1780713858.278933048,0.837561131,0.002693655,-0.000083365,-0.091137944,-5.221820,0.002693655,-0.000083365,-5.221820,0.003342265,-0.041057496
wheel,1780713858.298924685,0.857552767,0.002040726,-0.000022323,-0.095301606,-5.460380,0.002040726,-0.000022323,-5.460380,0.001535181,-0.042729424
wheel,1780713858.320487022,0.879115105,0.002983035,-0.000118782,-0.108717852,-6.229074,0.002983035,-0.000118782,-6.229074,0.003654484,-0.048522966
wheel,1780713858.338917494,0.897545576,0.003127836,-0.000135197,-0.117045177,-6.706195,0.003127836,-0.000135197,-6.706195,0.003867162,-0.052556617
wheel,1780713858.358943939,0.917572021,0.003127836,-0.000135197,-0.117045177,-6.706195,0.003127836,-0.000135197,-6.706195,0.003673804,-0.052031050
wheel,1780713858.378886700,0.937514782,0.003127836,-0.000135197,-0.135550343,-7.766463,0.003127836,-0.000135197,-7.766463,0.003490113,-0.060784780
wheel,1780713858.399005413,0.957633495,0.003272125,-0.000155625,-0.145728185,-8.349610,0.003272125,-0.000155625,-8.349610,0.003678045,-0.065239544
wheel,1780713858.418967724,0.977595806,0.003416209,-0.000177453,-0.154980768,-8.879744,0.003416209,-0.000177453,-8.879744,0.003859046,-0.069220847
wheel,1780713858.439432383,0.998060465,0.003488144,-0.000189050,-0.164695980,-9.436385,0.003488144,-0.000189050,-9.436385,0.003844035,-0.073273739
wheel,1780713858.458882332,1.017510414,0.003488144,-0.000189050,-0.164695980,-9.436385,0.003488144,-0.000189050,-9.436385,0.003651833,-0.072541002
wheel,1780713858.480036736,1.038664818,0.003416383,-0.000176423,-0.183663776,-10.523159,0.003416383,-0.000176423,-10.523159,0.003297028,-0.080781646
rtabmap,1780713858.497744799,1.667317629,0.007084555,0.010836782,-1.140228493,-65.330280,-0.009567193,0.009133499,11.302923,-0.017939076,0.379448056
wheel,1780713858.498940229,1.057568312,0.003416383,-0.000176423,-0.193841617,-11.106307,0.003416383,-0.000176423,-11.106307,0.003132176,-0.085360110
wheel,1780713858.518904686,1.077532768,0.003487826,-0.000190740,-0.201706313,-11.556920,0.003487826,-0.000190740,-11.556920,0.003158009,-0.088444917
wheel,1780713858.538983822,1.097611904,0.003345203,-0.000160818,-0.211884154,-12.140068,0.003345203,-0.000160818,-12.140068,0.002637219,-0.092629392
wheel,1780713858.558911324,1.117539406,0.003345203,-0.000160818,-0.211884154,-12.140068,0.003345203,-0.000160818,-12.140068,0.002505358,-0.091703098
wheel,1780713858.578942776,1.137570858,0.003274132,-0.000144754,-0.232702466,-13.332869,0.003274132,-0.000144754,-13.332869,0.002198182,-0.101180859
wheel,1780713858.598908186,1.157536268,0.003344973,-0.000161803,-0.239641904,-13.730470,0.003344973,-0.000161803,-13.730470,0.002270718,-0.103644199
wheel,1780713858.618899822,1.177527905,0.003415678,-0.000179408,-0.248431858,-14.234097,0.003415678,-0.000179408,-14.234097,0.002339412,-0.107004416
wheel,1780713858.638896227,1.197524309,0.003486226,-0.000197635,-0.257221812,-14.737724,0.003486226,-0.000197635,-14.737724,0.002404658,-0.110330715
wheel,1780713858.659493208,1.218121290,0.003486226,-0.000197635,-0.257221812,-14.737724,0.003486226,-0.000197635,-14.737724,0.002284425,-0.109227408
wheel,1780713858.678933144,1.237561226,0.003345606,-0.000159390,-0.273876461,-15.691965,0.003345606,-0.000159390,-15.691965,0.001795415,-0.116701739
wheel,1780713858.698945999,1.257574081,0.003485756,-0.000199323,-0.281278528,-16.116073,0.003485756,-0.000199323,-16.116073,0.002069830,-0.119234391
wheel,1780713858.718899727,1.277527809,0.003555686,-0.000219792,-0.288217965,-16.513673,0.003555686,-0.000219792,-16.513673,0.002148841,-0.121518275
wheel,1780713858.738936901,1.297564983,0.003485900,-0.000198839,-0.295157403,-16.911273,0.003485900,-0.000198839,-16.911273,0.001859555,-0.123766786
wheel,1780713858.758918524,1.317546606,0.003485900,-0.000198839,-0.295157403,-16.911273,0.003485900,-0.000198839,-16.911273,0.001766577,-0.122529118
wheel,1780713858.779537916,1.338165998,0.003346751,-0.000155546,-0.308111019,-17.653461,0.003346751,-0.000155546,-17.653461,0.001324892,-0.127585713
wheel,1780713858.798935890,1.357563972,0.003416117,-0.000177851,-0.314125198,-17.998048,0.003416117,-0.000177851,-17.998048,0.001446475,-0.129410501
wheel,1780713858.818913460,1.377541542,0.003416117,-0.000177851,-0.320602006,-18.369142,0.003416117,-0.000177851,-18.369142,0.001374151,-0.131357972
wheel,1780713858.838943481,1.397571564,0.003416117,-0.000177851,-0.327078814,-18.740236,0.003416117,-0.000177851,-18.740236,0.001305444,-0.133278250
wheel,1780713858.860051870,1.418679953,0.003416117,-0.000177851,-0.327078814,-18.740236,0.003416117,-0.000177851,-18.740236,0.001240172,-0.131945468
rtabmap,1780713858.864207983,2.033780813,0.012835737,0.015628662,-0.993166680,-56.904259,-0.012899679,0.015836688,19.728944,-0.005332191,0.401300579
wheel,1780713858.878922224,1.437550306,0.003003028,-0.000034715,-0.340032431,-19.482423,0.003003028,-0.000034715,-19.482423,0.000019802,-0.137490372
wheel,1780713858.898888111,1.457516193,0.002934421,-0.000010175,-0.346971868,-19.880024,0.002934421,-0.000010175,-19.880024,-0.000163657,-0.139591074
wheel,1780713858.918888092,1.477516174,0.003002833,-0.000035253,-0.355761822,-20.383651,0.003002833,-0.000035253,-20.383651,0.000026675,-0.142589882
wheel,1780713858.938908339,1.497536421,0.002866395,0.000015946,-0.362238630,-20.754745,0.002866395,0.000015946,-20.754745,-0.000338619,-0.144399190
wheel,1780713858.958895206,1.517523289,0.002866395,0.000015946,-0.362238630,-20.754745,0.002866395,0.000015946,-20.754745,-0.000321688,-0.142955198
wheel,1780713858.979238510,1.537866592,0.002594722,0.000121495,-0.378893280,-21.708986,0.002594722,0.000121495,-21.708986,-0.001021906,-0.149711963
wheel,1780713858.999377966,1.558006048,0.002527132,0.000148713,-0.386757976,-22.159600,0.002527132,0.000148713,-22.159600,-0.001151719,-0.152120147
wheel,1780713859.019041538,1.577669621,0.002459759,0.000176462,-0.394622672,-22.610214,0.002459759,0.000176462,-22.610214,-0.001279472,-0.154599931
wheel,1780713859.038932800,1.597560883,0.002594000,0.000119751,-0.404800513,-23.193361,0.002594000,0.000119751,-23.193361,-0.000849261,-0.158169629
wheel,1780713859.058926582,1.617554665,0.002594000,0.000119751,-0.404800513,-23.193361,0.002594000,0.000119751,-23.193361,-0.000806798,-0.156587933
wheel,1780713859.081312418,1.639940500,0.002460505,0.000178196,-0.420529904,-24.094589,0.002460505,0.000178196,-24.094589,-0.001091982,-0.162049220
wheel,1780713859.099259138,1.657887220,0.002327695,0.000238181,-0.427931971,-24.518696,0.002327695,0.000238181,-24.518696,-0.001443342,-0.164552757
wheel,1780713859.122216702,1.680844784,0.002195417,0.000299330,-0.438109812,-25.101843,0.002195417,0.000299330,-25.101843,-0.001688561,-0.167340558
wheel,1780713859.139344454,1.697972536,0.002195417,0.000299330,-0.444586621,-25.472937,0.002195417,0.000299330,-25.472937,-0.001604132,-0.169451098
wheel,1780713859.158902645,1.717530727,0.002195417,0.000299330,-0.444586621,-25.472937,0.002195417,0.000299330,-25.472937,-0.001523926,-0.167756587
wheel,1780713859.178909779,1.737537861,0.002195417,0.000299330,-0.461241270,-26.427178,0.002195417,0.000299330,-26.427178,-0.001447730,-0.174403773
wheel,1780713859.198876858,1.757504940,0.002000006,0.000397296,-0.468180708,-26.824779,0.002000006,0.000397296,-26.824779,-0.001922673,-0.176134843
wheel,1780713859.220835686,1.779463768,0.001870234,0.000463598,-0.476508032,-27.301899,0.001870234,0.000463598,-27.301899,-0.002158476,-0.178167057
wheel,1780713859.238918066,1.797546148,0.001934850,0.000429923,-0.484372728,-27.752513,0.001934850,0.000429923,-27.752513,-0.001849156,-0.180732979
wheel,1780713859.258884668,1.817512751,0.001934850,0.000429923,-0.484372728,-27.752513,0.001934850,0.000429923,-27.752513,-0.001756698,-0.178925650
wheel,1780713859.278912067,1.837540150,0.002191767,0.000292300,-0.499176861,-28.600727,0.002191767,0.000292300,-28.600727,-0.000941124,-0.184529301
wheel,1780713859.299201250,1.857829332,0.002127916,0.000327402,-0.506116299,-28.998328,0.002127916,0.000327402,-28.998328,-0.001073606,-0.186103791
wheel,1780713859.318948746,1.877576828,0.002064309,0.000362946,-0.513055736,-29.395928,0.002064309,0.000362946,-29.395928,-0.001204418,-0.187756880
rtabmap,1780713859.331469774,2.501042604,0.019806137,0.024046980,-0.803269920,-46.023976,-0.019478498,0.024564442,30.609227,-0.006947733,0.406403512
wheel,1780713859.338950872,1.897578955,0.002064309,0.000362946,-0.520457802,-29.820035,0.002064309,0.000362946,-29.820035,-0.001144197,-0.189580568
wheel,1780713859.359104156,1.917732239,0.002064309,0.000362946,-0.520457802,-29.820035,0.002064309,0.000362946,-29.820035,-0.001086987,-0.187684763
wheel,1780713859.381219387,1.939847469,0.002316298,0.000216493,-0.532486161,-30.509210,0.002316298,0.000216493,-30.509210,-0.000374050,-0.191243874
wheel,1780713859.398895741,1.957523823,0.002378963,0.000179313,-0.538500340,-30.853797,0.002378963,0.000179313,-30.853797,-0.000149272,-0.192733317
wheel,1780713859.418897867,1.977525949,0.002254066,0.000254397,-0.544051889,-31.171877,0.002254066,0.000254397,-31.171877,-0.000506095,-0.193581497
wheel,1780713859.438905239,1.997533321,0.002191871,0.000292356,-0.551916585,-31.622491,0.002191871,0.000292356,-31.622491,-0.000662916,-0.195577284
wheel,1780713859.458884716,2.017512798,0.002191871,0.000292356,-0.551916585,-31.622491,0.002191871,0.000292356,-31.622491,-0.000629770,-0.193621511
wheel,1780713859.478909969,2.037538052,0.002253730,0.000253851,-0.561631797,-32.179132,0.002253730,0.000253851,-32.179132,-0.000416355,-0.196536661
wheel,1780713859.498998404,2.057626486,0.002192176,0.000292842,-0.567645976,-32.523719,0.002192176,0.000292842,-32.523719,-0.000576898,-0.197565181
wheel,1780713859.518914700,2.077542782,0.002253494,0.000253482,-0.573660156,-32.868306,0.002253494,0.000253482,-32.868306,-0.000365123,-0.198609329
wheel,1780713859.539110661,2.097738743,0.002070307,0.000372750,-0.580599593,-33.265906,0.002070307,0.000372750,-33.265906,-0.000888019,-0.200059126
wheel,1780713859.559219599,2.117847681,0.002070307,0.000372750,-0.580599593,-33.265906,0.002070307,0.000372750,-33.265906,-0.000843618,-0.198058535
wheel,1780713859.578888893,2.137516975,0.001888287,0.000493793,-0.593090580,-33.981587,0.001888287,0.000493793,-33.981587,-0.001357066,-0.202427988
wheel,1780713859.598921537,2.157549620,0.001828008,0.000534728,-0.600030018,-34.379188,0.001828008,0.000534728,-34.379188,-0.001471106,-0.203868350
wheel,1780713859.618983030,2.177611113,0.001828008,0.000534728,-0.607432084,-34.803295,0.001828008,0.000534728,-34.803295,-0.001397551,-0.205520672
wheel,1780713859.639650822,2.198278904,0.001828008,0.000534728,-0.614834151,-35.227402,0.001828008,0.000534728,-35.227402,-0.001327673,-0.207046626
wheel,1780713859.658883572,2.217511654,0.001828008,0.000534728,-0.614834151,-35.227402,0.001828008,0.000534728,-35.227402,-0.001261290,-0.204976160
wheel,1780713859.679023027,2.237651110,0.001709672,0.000619776,-0.631488800,-36.181643,0.001709672,0.000619776,-36.181643,-0.001560117,-0.211198215
rtabmap,1780713859.697698116,2.867270947,0.024665024,0.028098077,-0.677701328,-38.829426,-0.022296553,0.030228251,37.803777,0.001251978,0.342869401
wheel,1780713859.698884010,2.257512093,0.001651029,0.000663022,-0.639353496,-36.632257,0.001651029,0.000663022,-36.632257,-0.001665474,-0.213044537
wheel,1780713859.718921185,2.277549267,0.001709330,0.000619316,-0.647218192,-37.082871,0.001709330,0.000619316,-37.082871,-0.001400326,-0.214840265
wheel,1780713859.738905907,2.297533989,0.001709330,0.000619316,-0.655545516,-37.559991,0.001709330,0.000619316,-37.559991,-0.001330310,-0.216858012
wheel,1780713859.758925676,2.317553759,0.001709330,0.000619316,-0.655545516,-37.559991,0.001709330,0.000619316,-37.559991,-0.001263794,-0.214689432
wheel,1780713859.778925896,2.337553978,0.001709330,0.000619316,-0.672200166,-38.514233,0.001709330,0.000619316,-38.514233,-0.001200605,-0.220869473
wheel,1780713859.799003363,2.357631445,0.001652496,0.000664913,-0.680064862,-38.964846,0.001652496,0.000664913,-38.964846,-0.001322118,-0.222579815
wheel,1780713859.818901062,2.377529144,0.001652496,0.000664913,-0.688392187,-39.441967,0.001652496,0.000664913,-39.441967,-0.001256012,-0.224537332
wheel,1780713859.839000940,2.397629023,0.001708563,0.000618376,-0.697182141,-39.945594,0.001708563,0.000618376,-39.945594,-0.001011980,-0.226664526
wheel,1780713859.858889103,2.417517185,0.001708563,0.000618376,-0.697182141,-39.945594,0.001708563,0.000618376,-39.945594,-0.000961381,-0.224397881
wheel,1780713859.880506754,2.439134836,0.001708563,0.000618376,-0.713836790,-40.899835,0.001708563,0.000618376,-40.899835,-0.000913312,-0.229858942
wheel,1780713859.898913860,2.457541943,0.001049258,0.001192691,-0.719388340,-41.217916,0.001049258,0.001192691,-41.217916,-0.003242394,-0.230575905
wheel,1780713859.918875694,2.477503777,0.001649338,0.000661360,-0.730028811,-41.827570,0.001649338,0.000661360,-41.827570,-0.001072752,-0.233600362
rtabmap,1780713859.930641174,3.100214005,0.026152488,0.033416912,-0.577323475,-33.078199,-0.027127424,0.032905050,43.555004,-0.009342065,0.430911392
wheel,1780713859.938890457,2.497518539,0.001757523,0.000563724,-0.738356136,-42.304690,0.001757523,0.000563724,-42.304690,-0.000655015,-0.235425495
wheel,1780713859.958876848,2.517504930,0.001757523,0.000563724,-0.738356136,-42.304690,0.001757523,0.000563724,-42.304690,-0.000622265,-0.233071240
wheel,1780713859.978897333,2.537525415,0.001864525,0.000464793,-0.754085527,-43.205918,0.001864525,0.000464793,-43.205918,-0.000227139,-0.238598580
wheel,1780713859.998963594,2.557591677,0.001811611,0.000514886,-0.761950223,-43.656532,0.001811611,0.000514886,-43.656532,-0.000397371,-0.240132609
wheel,1780713860.018920422,2.577548504,0.001759070,0.000565369,-0.768889660,-44.054132,0.001759070,0.000565369,-44.054132,-0.000560019,-0.241207801
wheel,1780713860.038939953,2.597568035,0.001863473,0.000463700,-0.775366468,-44.425226,0.001863473,0.000463700,-44.425226,-0.000168032,-0.242031161
wheel,1780713860.058881760,2.617509842,0.001863473,0.000463700,-0.775366468,-44.425226,0.001863473,0.000463700,-44.425226,-0.000159630,-0.239610849
wheel,1780713860.078891277,2.637519360,0.002018626,0.000309719,-0.787857456,-45.140907,0.002018626,0.000309719,-45.140907,0.000394670,-0.243458379
wheel,1780713860.098949671,2.657577753,0.001967385,0.000361522,-0.793871635,-45.485494,0.001967385,0.000361522,-45.485494,0.000193103,-0.244025485
wheel,1780713860.118942976,2.677571058,0.001916458,0.000413633,-0.799885814,-45.830081,0.001916458,0.000413633,-45.830081,0.000001437,-0.244589851
wheel,1780713860.138922691,2.697550774,0.001916458,0.000413633,-0.805437364,-46.148162,0.001916458,0.000413633,-46.148162,0.000001366,-0.244922545
wheel,1780713860.158919334,2.717547417,0.001916458,0.000413633,-0.805437364,-46.148162,0.001916458,0.000413633,-46.148162,0.000001297,-0.242473320
wheel,1780713860.178904057,2.737532139,0.002016784,0.000307938,-0.817465722,-46.837336,0.002016784,0.000307938,-46.837336,0.000365866,-0.246067938
rtabmap,1780713860.197152615,3.366725445,0.030125488,0.039368842,-0.487077696,-27.907496,-0.031999621,0.038146413,48.725707,0.000302498,0.338619292
