topic,t,lost,matches,inliers,features,icp_inliers_ratio,local_map_size
/rtabmap/odom_info_lite,1780713857.484110594,0,0,0,0,0.572852,0
/rtabmap/odom_info,1780713857.491111755,0,0,0,0,0.572852,0
/rtabmap/odom_info_lite,1780713857.826207161,0,0,0,0,0.570679,0
/rtabmap/odom_info,1780713857.828127861,0,0,0,0,0.570679,0
/rtabmap/odom_info_lite,1780713858.252778292,0,0,0,0,0.568623,0
/rtabmap/odom_info,1780713858.255918503,0,0,0,0,0.568623,0
/rtabmap/odom_info_lite,1780713858.805633307,0,0,0,0,0.465127,0
/rtabmap/odom_info_lite,1780713859.213779449,0,0,0,0,0.385649,0
/rtabmap/odom_info,1780713859.218910456,0,0,0,0,0.385649,0
/rtabmap/odom_info,1780713859.588814020,0,0,0,0,0.377692,0
/rtabmap/odom_info_lite,1780713859.589727402,0,0,0,0,0.377692,0
/rtabmap/odom_info,1780713859.975887299,0,0,0,0,0.361328,0
/rtabmap/odom_info_lite,1780713859.977793455,0,0,0,0,0.361328,0
/rtabmap/odom_info_lite,1780713860.245433569,0,0,0,0,0.358089,0
/rtabmap/odom_info,1780713860.248006821,0,0,0,0,0.358089,0
/rtabmap/odom_info_lite,1780713860.473329306,0,0,0,0,0.344621,0
/rtabmap/odom_info,1780713860.475582123,0,0,0,0,0.344621,0
/rtabmap/odom_info_lite,1780713860.703464270,0,0,0,0,0.329463,0
/rtabmap/odom_info,1780713860.705489635,0,0,0,0,0.329463,0
/rtabmap/odom_info_lite,1780713860.908486605,0,0,0,0,0.321580,0
/rtabmap/odom_info,1780713860.910040617,0,0,0,0,0.321580,0
/rtabmap/odom_info_lite,1780713861.232960939,0,0,0,0,0.287785,0
/rtabmap/odom_info,1780713861.235083342,0,0,0,0,0.287785,0
/rtabmap/odom_info_lite,1780713861.442953587,0,0,0,0,0.297721,0
/rtabmap/odom_info,1780713861.446366549,0,0,0,0,0.297721,0
/rtabmap/odom_info_lite,1780713861.640681028,0,0,0,0,0.317406,0
/rtabmap/odom_info,1780713861.641663313,0,0,0,0,0.317406,0
/rtabmap/odom_info,1780713861.872507334,0,0,0,0,0.291060,0
