group,source,metric,value
source,wheel,sample_count,855
source,wheel,duration_s,17.0775
source,wheel,frequency_hz,50.0072
source,wheel,final_x_m,0.00258897
source,wheel,final_y_m,-0.000532678
source,wheel,final_yaw_deg,-0.424107
source,wheel,path_length_m,0.0647033
source,wheel,error_x_m,0.00258897
source,wheel,error_y_m,-0.000532678
source,wheel,error_distance_m,0.0026432
source,wheel,error_yaw_deg,-0.424107
source,wheel,closure_error_m,0.0026432
source,rtabmap,sample_count,67
source,rtabmap,duration_s,16.9665
source,rtabmap,frequency_hz,3.89001
source,rtabmap,final_x_m,-0.00552155
source,rtabmap,final_y_m,-1.5072e-05
source,rtabmap,final_yaw_deg,0.917414
source,rtabmap,path_length_m,0.327392
source,rtabmap,error_x_m,-0.00552155
source,rtabmap,error_y_m,-1.5072e-05
source,rtabmap,error_distance_m,0.00552157
source,rtabmap,error_yaw_deg,0.917414
source,rtabmap,closure_error_m,0.00552157
comparison,,paired_samples,333
comparison,,mean_sync_dt_s,0.0249546
comparison,,mean_xy_disagreement_m,0.047674
comparison,,max_xy_disagreement_m,0.0806316
comparison,,mean_yaw_disagreement_deg,85.4201
comparison,,final_xy_disagreement_m,0.00812701
comparison,,final_yaw_disagreement_deg,-1.34152
health,,rtabmap_info_samples,133
health,,rtabmap_lost_percent,0
