source,t,rel_t,x,y,yaw_rad,yaw_deg,rel_x,rel_y,rel_yaw_deg,vx,wz
rtabmap,1780714383.963253498,0.000000000,0.000000000,0.000000000,-0.081530699,-4.671365,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
rtabmap,1780714383.996560335,0.033306837,0.000077732,0.000300137,-0.081556347,-4.672834,0.000053031,0.000305471,-0.001470,0.001592197,-0.000769964
wheel,1780714384.168850422,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000458,-0.000035396
wheel,1780714384.188817739,0.019967318,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000435,-0.000035042
wheel,1780714384.208795071,0.039944649,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000414,-0.000034692
wheel,1780714384.228805065,0.059954643,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000393,-0.000034345
wheel,1780714384.248744726,0.079894304,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000373,-0.000034001
rtabmap,1780714384.263216734,0.299963236,-0.000072753,-0.000327707,-0.081537779,-4.671771,-0.000045823,-0.000332544,-0.000406,-0.000370653,0.000069628
wheel,1780714384.268805027,0.099954605,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000355,-0.000033661
wheel,1780714384.288787365,0.119936943,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000337,-0.000033325
wheel,1780714384.308799982,0.139949560,-0.000801505,0.000000185,-0.000462629,-0.026507,-0.000801505,0.000000185,-0.026507,-0.002002060,-0.000264146
wheel,1780714384.328820229,0.159969807,-0.001748738,0.000000405,0.000000000,0.000000,-0.001748738,0.000000405,0.000000,-0.004268152,-0.000030375
wheel,1780714384.348775625,0.179925203,-0.003351748,0.000001146,-0.000925258,-0.053013,-0.003351748,0.000001146,-0.053013,-0.008071323,-0.000493745
wheel,1780714384.371574402,0.202723980,-0.003351748,0.000001146,-0.000925258,-0.053013,-0.003351748,0.000001146,-0.053013,-0.007667757,-0.000488808
wheel,1780714384.388996601,0.220146179,-0.010711016,0.000009658,-0.001387887,-0.079520,-0.010711016,0.000009658,-0.079520,-0.028404760,-0.000749460
wheel,1780714384.409195423,0.240345001,-0.013698442,0.000013113,-0.000925258,-0.053013,-0.013698442,0.000013113,-0.053013,-0.034380188,-0.000512908
wheel,1780714384.428800344,0.259949923,-0.018070286,0.000017158,-0.000925258,-0.053013,-0.018070286,0.000017158,-0.053013,-0.043812538,-0.000507779
wheel,1780714384.448802471,0.279952049,-0.023025044,0.000019450,-0.000000000,-0.000000,-0.023025044,0.000019450,-0.000000,-0.054006752,-0.000040149
wheel,1780714384.468773365,0.299922943,-0.027834072,0.000023900,-0.001850517,-0.106027,-0.027834072,0.000023900,-0.106027,-0.063343637,-0.000966133
wheel,1780714384.488819838,0.319969416,-0.027834072,0.000023900,-0.001850517,-0.106027,-0.027834072,0.000023900,-0.106027,-0.060176455,-0.000956472
wheel,1780714384.508769751,0.339919329,-0.039200840,0.000050193,-0.002775775,-0.159040,-0.039200840,0.000050193,-0.159040,-0.085646784,-0.001410548
wheel,1780714384.528796673,0.359946251,-0.045248532,0.000068379,-0.003238404,-0.185547,-0.045248532,0.000068379,-0.185547,-0.096464498,-0.001627463
rtabmap,1780714384.530013800,0.566760302,0.025128186,-0.006167313,-0.076670683,-4.392907,0.025546984,-0.004100377,0.278458,0.095926128,0.018242702
wheel,1780714384.548974514,0.380124092,-0.051441943,0.000089868,-0.003701033,-0.212054,-0.051441943,0.000089868,-0.212054,-0.106988606,-0.001840467
