topic,t,lost,matches,inliers,features,icp_inliers_ratio,local_map_size
/rtabmap/odom_info_lite,1780714384.302064180,0,0,0,0,0.000000,0
/rtabmap/odom_info,1780714384.303702116,0,0,0,0,0.000000,0
/rtabmap/odom_info_lite,1780714384.605908632,0,0,0,0,0.567707,0
/rtabmap/odom_info,1780714384.607574940,0,0,0,0,0.567707,0
/rtabmap/odom_info_lite,1780714384.857587814,0,0,0,0,0.568191,0
/rtabmap/odom_info,1780714384.859578848,0,0,0,0,0.568191,0
/rtabmap/odom_info_lite,1780714385.202760696,0,0,0,0,0.374282,0
/rtabmap/odom_info,1780714385.204258204,0,0,0,0,0.374282,0
/rtabmap/odom_info_lite,1780714385.532246113,0,0,0,0,0.442741,0
/rtabmap/odom_info,1780714385.533538580,0,0,0,0,0.442741,0
/rtabmap/odom_info_lite,1780714386.002332211,0,0,0,0,0.441143,0
/rtabmap/odom_info,1780714386.004131079,0,0,0,0,0.441143,0
/rtabmap/odom_info_lite,1780714386.308306217,0,0,0,0,0.408784,0
/rtabmap/odom_info,1780714386.310007095,0,0,0,0,0.408784,0
/rtabmap/odom_info_lite,1780714386.620438576,0,0,0,0,0.430320,0
/rtabmap/odom_info,1780714386.622999191,0,0,0,0,0.430320,0
/rtabmap/odom_info,1780714386.923962593,0,0,0,0,0.485466,0
/rtabmap/odom_info_lite,1780714386.925101280,0,0,0,0,0.485466,0
/rtabmap/odom_info,1780714387.214398623,0,0,0,0,0.474700,0
/rtabmap/odom_info_lite,1780714387.216301441,0,0,0,0,0.474700,0
/rtabmap/odom_info_lite,1780714387.520858765,0,0,0,0,0.489691,0
/rtabmap/odom_info,1780714387.522528887,0,0,0,0,0.489691,0
/rtabmap/odom_info,1780714387.812506199,0,0,0,0,0.489596,0
/rtabmap/odom_info_lite,1780714387.814157009,0,0,0,0,0.489596,0
/rtabmap/odom_info_lite,1780714388.138349771,0,0,0,0,0.484446,0
/rtabmap/odom_info,1780714388.140160799,0,0,0,0,0.484446,0
/rtabmap/odom_info_lite,1780714388.461163282,0,0,0,0,0.491461,0
/rtabmap/odom_info,1780714388.463134289,0,0,0,0,0.491461,0
/rtabmap/odom_info_lite,1780714388.820469379,0,0,0,0,0.424879,0
/rtabmap/odom_info,1780714388.822782516,0,0,0,0,0.424879,0
/rtabmap/odom_info_lite,1780714389.055686951,0,0,0,0,0.450090,0
/rtabmap/odom_info,1780714389.057523251,0,0,0,0,0.450090,0
/rtabmap/odom_info_lite,1780714389.308391094,0,0,0,0,0.479201,0
/rtabmap/odom_info,1780714389.310936451,0,0,0,0,0.479201,0
/rtabmap/odom_info_lite,1780714389.589181185,0,0,0,0,0.488215,0
/rtabmap/odom_info,1780714389.590858698,0,0,0,0,0.488215,0
/rtabmap/odom_info_lite,1780714389.914584875,0,0,0,0,0.502150,0
/rtabmap/odom_info,1780714389.916309118,0,0,0,0,0.502150,0
/rtabmap/odom_info_lite,1780714390.189751148,0,0,0,0,0.498854,0
/rtabmap/odom_info,1780714390.191744804,0,0,0,0,0.498854,0
/rtabmap/odom_info_lite,1780714390.495315790,0,0,0,0,0.509852,0
/rtabmap/odom_info,1780714390.497237444,0,0,0,0,0.509852,0
/rtabmap/odom_info_lite,1780714390.791117430,0,0,0,0,0.513927,0
/rtabmap/odom_info,1780714390.792044401,0,0,0,0,0.513927,0
/rtabmap/odom_info_lite,1780714391.032670975,0,0,0,0,0.517556,0
/rtabmap/odom_info,1780714391.034758329,0,0,0,0,0.517556,0
/rtabmap/odom_info_lite,1780714391.287398577,0,0,0,0,0.501517,0
/rtabmap/odom_info,1780714391.288906574,0,0,0,0,0.501517,0
/rtabmap/odom_info_lite,1780714391.688847303,0,0,0,0,0.465492,0
/rtabmap/odom_info,1780714391.691508770,0,0,0,0,0.465492,0
/rtabmap/odom_info_lite,1780714392.100655794,0,0,0,0,0.451963,0
/rtabmap/odom_info,1780714392.102904081,0,0,0,0,0.451963,0
/rtabmap/odom_info_lite,1780714392.322630405,0,0,0,0,0.475288,0
/rtabmap/odom_info,1780714392.323903561,0,0,0,0,0.475288,0
/rtabmap/odom_info_lite,1780714392.622507095,0,0,0,0,0.492103,0
/rtabmap/odom_info,1780714392.624496937,0,0,0,0,0.492103,0
/rtabmap/odom_info,1780714392.907494307,0,0,0,0,0.478685,0
/rtabmap/odom_info_lite,1780714392.908926249,0,0,0,0,0.478685,0
