group,source,metric,value
source,wheel,sample_count,453
source,wheel,duration_s,9.03995
source,wheel,frequency_hz,50.0003
source,wheel,final_x_m,-1.94719
source,wheel,final_y_m,0.0679593
source,wheel,final_yaw_deg,-4.05552
source,wheel,path_length_m,1.99057
source,wheel,error_x_m,-3.94719
source,wheel,error_y_m,0.0679593
source,wheel,error_distance_m,3.94777
source,wheel,error_yaw_deg,-4.05552
source,wheel,closure_error_m,1.94837
source,rtabmap,sample_count,29
source,rtabmap,duration_s,8.33391
source,rtabmap,frequency_hz,3.35977
source,rtabmap,final_x_m,2.04103
source,rtabmap,final_y_m,0.114856
source,rtabmap,final_yaw_deg,4.53797
source,rtabmap,path_length_m,2.04748
source,rtabmap,error_x_m,0.0410287
source,rtabmap,error_y_m,0.114856
source,rtabmap,error_distance_m,0.121964
source,rtabmap,error_yaw_deg,4.53797
source,rtabmap,closure_error_m,2.04426
comparison,,paired_samples,140
comparison,,mean_sync_dt_s,0.024798
comparison,,mean_xy_disagreement_m,2.00057
comparison,,max_xy_disagreement_m,3.99634
comparison,,mean_yaw_disagreement_deg,4.26695
comparison,,final_xy_disagreement_m,3.99038
comparison,,final_yaw_disagreement_deg,-8.32843
health,,rtabmap_info_samples,58
health,,rtabmap_lost_percent,0
