source,t,rel_t,x,y,yaw_rad,yaw_deg,rel_x,rel_y,rel_yaw_deg,vx,wz
rtabmap,1780715153.397832632,0.000000000,0.000576577,-0.000203476,-2.029713125,-116.293996,-0.000000000,0.000000000,0.000000,-0.000485258,-0.000313211
rtabmap,1780715153.697893620,0.300060987,0.000145853,-0.000016508,-2.029681085,-116.292160,0.000023178,-0.000468981,0.001836,0.000077245,0.000107068
wheel,1780715153.948355675,0.000000000,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715153.969923019,0.021567345,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715153.988366842,0.040011168,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.008784771,0.060429096,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.028503656,0.080147982,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.049187899,0.100832224,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
rtabmap,1780715154.064131021,0.666298389,0.000115130,-0.000085647,-2.029632502,-116.289376,0.000098773,-0.000465897,0.004619,0.000206410,0.000133535
wheel,1780715154.068318844,0.119963169,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.088265896,0.139910221,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.110067368,0.161711693,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.128966331,0.180610657,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.149256945,0.200901270,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.168530703,0.220175028,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.188261747,0.239906073,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.208323479,0.259967804,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.228268385,0.279912710,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.249060869,0.300705194,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.268496990,0.320141315,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.288450480,0.340094805,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
rtabmap,1780715154.297698021,0.899865389,0.000138584,0.000084536,-2.029570197,-116.285806,-0.000064192,-0.000520258,0.008189,-0.000697742,0.000267315
wheel,1780715154.309303284,0.360947609,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.328377247,0.380021572,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.348989487,0.400633812,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.368304729,0.419949055,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.388440371,0.440084696,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.408260584,0.459904909,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.428262711,0.479907036,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.449126959,0.500771284,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.468835115,0.520479441,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.488544464,0.540188789,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.508299351,0.559943676,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.528251410,0.579895735,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.554200649,0.605844975,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.570230484,0.621874809,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.588329792,0.639974117,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.608348846,0.659993172,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.628306866,0.679951191,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
rtabmap,1780715154.630738020,1.232905388,-0.000345788,0.000240751,-2.029519507,-116.282902,0.000010323,-0.001023713,0.011094,0.000223525,0.000153200
wheel,1780715154.649019957,0.700664282,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.669547081,0.721191406,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.688302040,0.739946365,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.709210157,0.760854483,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.728243113,0.779887438,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.748259068,0.799903393,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.769811153,0.821455479,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.788279772,0.839924097,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.808336735,0.859981060,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.828252316,0.879896641,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.848578453,0.900222778,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
wheel,1780715154.868262768,0.919907093,0.000000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000,0.000000,0.000000000,0.000000000
