topic,t,lost,matches,inliers,features,icp_inliers_ratio,local_map_size
/rtabmap/odom_info_lite,1780715154.000741482,0,0,0,0,0.569607,0
/rtabmap/odom_info,1780715154.001521349,0,0,0,0,0.569607,0
/rtabmap/odom_info_lite,1780715154.288208485,0,0,0,0,0.568533,0
/rtabmap/odom_info,1780715154.289704084,0,0,0,0,0.568533,0
/rtabmap/odom_info_lite,1780715154.634650230,0,0,0,0,0.567288,0
/rtabmap/odom_info,1780715154.636311769,0,0,0,0,0.567288,0
/rtabmap/odom_info_lite,1780715154.914556265,0,0,0,0,0.567560,0
/rtabmap/odom_info,1780715154.915106058,0,0,0,0,0.567560,0
/rtabmap/odom_info_lite,1780715155.195790529,0,0,0,0,0.564588,0
/rtabmap/odom_info,1780715155.196487427,0,0,0,0,0.564588,0
/rtabmap/odom_info_lite,1780715155.500326395,0,0,0,0,0.568237,0
/rtabmap/odom_info,1780715155.501584530,0,0,0,0,0.568237,0
/rtabmap/odom_info_lite,1780715155.812888384,0,0,0,0,0.567353,0
/rtabmap/odom_info,1780715155.813897371,0,0,0,0,0.567353,0
/rtabmap/odom_info_lite,1780715156.093294621,0,0,0,0,0.567847,0
/rtabmap/odom_info,1780715156.093997717,0,0,0,0,0.567847,0
/rtabmap/odom_info_lite,1780715156.393646002,0,0,0,0,0.567349,0
/rtabmap/odom_info,1780715156.394083261,0,0,0,0,0.567349,0
/rtabmap/odom_info_lite,1780715156.648017406,0,0,0,0,0.563186,0
/rtabmap/odom_info,1780715156.648840189,0,0,0,0,0.563186,0
/rtabmap/odom_info_lite,1780715156.955091238,0,0,0,0,0.567811,0
/rtabmap/odom_info,1780715156.956156969,0,0,0,0,0.567811,0
/rtabmap/odom_info_lite,1780715157.259866714,0,0,0,0,0.568945,0
/rtabmap/odom_info,1780715157.263212204,0,0,0,0,0.568945,0
/rtabmap/odom_info_lite,1780715157.605960369,0,0,0,0,0.565373,0
/rtabmap/odom_info,1780715157.607037544,0,0,0,0,0.565373,0
/rtabmap/odom_info_lite,1780715157.918362141,0,0,0,0,0.567490,0
/rtabmap/odom_info,1780715157.919898272,0,0,0,0,0.567490,0
/rtabmap/odom_info_lite,1780715158.386877060,0,0,0,0,0.568468,0
/rtabmap/odom_info,1780715158.387548208,0,0,0,0,0.568468,0
/rtabmap/odom_info_lite,1780715158.644736052,0,0,0,0,0.568609,0
/rtabmap/odom_info,1780715158.645518303,0,0,0,0,0.568609,0
/rtabmap/odom_info_lite,1780715158.920621872,0,0,0,0,0.568119,0
/rtabmap/odom_info,1780715158.921523094,0,0,0,0,0.568119,0
/rtabmap/odom_info_lite,1780715159.274647713,0,0,0,0,0.566820,0
/rtabmap/odom_info,1780715159.276163340,0,0,0,0,0.566820,0
/rtabmap/odom_info_lite,1780715159.606350899,0,0,0,0,0.569489,0
