group,source,metric,value
source,wheel,sample_count,5821
source,wheel,duration_s,116.44
source,wheel,frequency_hz,49.9829
source,wheel,final_x_m,0.0778438
source,wheel,final_y_m,-0.264801
source,wheel,final_yaw_deg,4.82422
source,wheel,path_length_m,15.4897
source,wheel,error_x_m,0.0778438
source,wheel,error_y_m,-0.264801
source,wheel,error_distance_m,0.276006
source,wheel,error_yaw_deg,4.82422
source,wheel,closure_error_m,0.276006
source,rtabmap,sample_count,449
source,rtabmap,duration_s,116.269
source,rtabmap,frequency_hz,3.85313
source,rtabmap,final_x_m,0.0146788
source,rtabmap,final_y_m,0.100722
source,rtabmap,final_yaw_deg,-3.16637
source,rtabmap,path_length_m,16.5964
source,rtabmap,error_x_m,0.0146788
source,rtabmap,error_y_m,0.100722
source,rtabmap,error_distance_m,0.101786
source,rtabmap,error_yaw_deg,-3.16637
source,rtabmap,closure_error_m,0.101786
comparison,,paired_samples,2241
comparison,,mean_sync_dt_s,0.024959
comparison,,mean_xy_disagreement_m,3.18352
comparison,,max_xy_disagreement_m,8.42927
comparison,,mean_yaw_disagreement_deg,71.6688
comparison,,final_xy_disagreement_m,0.370941
comparison,,final_yaw_disagreement_deg,7.99059
health,,rtabmap_info_samples,891
health,,rtabmap_lost_percent,0
